Spacing,26
Voids


Label Id,X1,Y1,Z1,X2,Y2,Z2,a11,a22,a33,a12,a13,a23,DimX,DimY,DimZ,phi,theta,Xm,Ym,Zm,Volume,Roundness,FeretDiam,Flatness,VoxDimX,VoxDimY,VoxDimZ,MajorLength,MinorLength,
70,21515.5,946.942,11702.2,21284.3,890.236,11382.3,0.336193,0.0202284,0.643578,0.0824662,0.465152,0.114099,442,338,468,13.7822,36.6561,21399.9,918.589,11542.3,3.32538e+07,0,0,1.21498,17,13,18,398.703,309.373,
71,29303.5,3847.7,4635.76,30086.6,3951.91,2573.14,0.1257,0.00222584,0.872074,-0.0167269,0.331089,-0.0440579,884,208,2106,187.58,20.957,29695.1,3899.8,3604.45,3.27265e+07,0,0,1.43931,34,8,81,2208.73,137.248,
72,6044.86,1577.94,28287,6927.13,1445.26,27527.3,0.566843,0.0128196,0.420337,0.0852449,0.488124,0.0734067,884,260,832,171.448,49.5839,6486,1511.6,27907.1,3.21465e+07,0,0,1.75367,34,10,32,1171.85,154.878,
73,29358.3,4403.16,15182.8,29910.6,4402.09,13763.8,0.131583,4.88674e-07,0.868416,0.000253577,0.338037,0.000651439,650,260,1560,179.89,21.2689,29634.5,4402.62,14473.3,3.19532e+07,0,0,1.53325,25,10,60,1522.74,153.857,
74,23765.9,2832.1,18720.7,21837.4,2227.06,15844.6,0.300974,0.0296249,0.669401,0.0944263,0.448857,0.140822,1950,676,2860,17.4185,35.0981,22801.6,2529.58,17282.7,3.15841e+07,0,0,1.28601,75,26,110,3515.25,119.632,
75,6836.11,2350.13,22192.1,7773.63,1976.5,19841.7,0.134338,0.0213371,0.844325,0.0535386,0.336787,0.134221,1066,494,2600,158.271,23.2384,7304.87,2163.31,21016.9,3.14786e+07,0,0,1.31003,41,19,100,2557.89,124.455,
76,33049.9,4329.61,21049,30455.7,3733.31,19591.2,0.730683,0.038606,0.230711,0.167955,0.410581,0.0943759,2860,728,1586,12.9451,61.2935,31752.8,4031.46,20320.1,3.12326e+07,0,0,2.2723,110,28,61,3034.85,87.1103,
77,28881.1,3925.86,27025,28493.3,3879.06,26816.3,0.766624,0.011163,0.222213,0.0925086,0.41274,0.0498054,468,364,494,6.88062,61.8751,28687.2,3902.46,26920.6,3.1215e+07,0,0,1.25104,18,14,19,442.893,291.681,
78,9427.43,6112.68,36565.8,10786.4,5542.27,34249.7,0.245036,0.0431729,0.711791,0.102854,0.41763,0.1753,1404,650,2366,157.23,32.4695,10106.9,5827.47,35407.8,3.11798e+07,0,0,1.61399,54,25,91,2745.24,130.054,
79,27359.9,2734.35,19264.3,27406.4,2713.27,18882.3,0.0145213,0.00299368,0.982485,0.00659333,0.119444,0.0542332,416,364,442,155.58,7.60507,27383.2,2723.81,19073.3,3.11447e+07,0,0,1.25656,16,14,17,385.385,299.52,
80,40256.2,6026,16042.4,39119.6,5708.51,14208.2,0.271596,0.0211899,0.707214,0.0758624,0.438265,0.122417,1144,390,1794,15.6061,32.7584,39687.9,5867.25,15125.3,3.09338e+07,0,0,1.11766,44,15,69,2181.08,146.083,
81,18857.6,6619.02,33051.1,21341.6,6553.25,31602.8,0.745918,0.00052296,0.253559,0.0197506,0.434896,0.0115153,2418,234,1430,178.483,59.7651,20099.6,6586.13,32327,3.07932e+07,0,0,1.6853,93,9,55,2876.12,107.918,
82,23299.5,2403.35,18068.9,20023.5,1667.42,16214.7,0.72949,0.036813,0.233697,0.163874,0.412892,0.0927529,3536,780,1976,12.6609,61.0908,21661.5,2035.38,17141.8,3.02659e+07,0,0,1.37595,136,30,76,3835.6,120.653,
83,17161.7,2094.14,12045.9,17778.9,2052.25,10579,0.150303,0.000692303,0.849005,0.0102008,0.357223,0.0242439,780,182,1716,176.117,22.8663,17470.3,2073.2,11312.5,3.01604e+07,0,0,1.82523,30,7,66,1592.06,128.104,
84,23186.6,3448.56,21684.1,21146.7,2757.45,18429.1,0.273159,0.0313531,0.695488,0.0925441,0.435866,0.147668,2106,754,3302,18.7159,33.4924,22166.6,3103.01,20056.6,3.00901e+07,0,0,1.9966,81,29,127,3903.04,83.5645,
85,22628.4,1575.5,18564.2,24927.3,1780.73,16366.5,0.520336,0.00414692,0.475518,-0.046452,0.497422,-0.0444065,2522,286,2366,185.101,46.4033,23777.9,1678.12,17465.3,3.00725e+07,0,0,1.89377,97,11,91,3187,93.568,
86,30014.6,4453.73,13989.3,30604.6,4510.75,12399.4,0.120922,0.00112926,0.877949,-0.0116855,0.325827,-0.031487,676,182,1586,185.52,20.448,30309.6,4482.24,13194.4,2.98968e+07,0,0,1.98754,26,7,61,1696.82,125.72,
87,108.773,3830.32,28218.9,607.277,3646.11,27351.7,0.240218,0.0328015,0.726981,0.0887666,0.417892,0.154422,754,364,1092,159.719,31.5009,358.025,3738.21,27785.3,2.9598e+07,0,0,1.93215,29,14,42,1017.11,171.711,
88,27659.7,4387.75,29987.2,25215.7,3856.84,28593.3,0.728621,0.0343826,0.236996,0.158278,0.415548,0.0902693,2600,650,1482,12.2559,60.8681,26437.7,4122.3,29290.3,2.92816e+07,0,0,1.39194,100,25,57,2863.24,142.655,
89,21965,3315.72,24257.8,17619.7,1803.67,17234.1,0.267822,0.0324287,0.699749,0.093194,0.432907,0.150639,3952,1404,6344,19.1864,33.2266,19792.4,2559.69,20745.9,2.90356e+07,0,0,1.11077,152,54,244,8396.52,75.5585,
90,17581.9,3268.75,14627.4,19816.4,3444.95,13304.6,0.737105,0.00458338,0.258312,-0.0581243,0.436352,-0.0344085,2262,286,1352,184.509,59.4531,18699.1,3356.85,13966,2.9018e+07,0,0,1.1383,87,11,52,2602.74,127.879,
91,8721.91,1002.23,24698.9,10050.4,882.127,23314.7,0.477621,0.00390374,0.518475,0.0431799,0.497629,0.0449888,1274,234,1378,174.834,43.9412,9386.17,942.18,24006.8,2.89125e+07,0,0,1.79739,49,9,53,1922.32,119.653,
92,33837.8,5722.8,22658,33828.9,5693.25,22226.7,0.000415358,0.00467061,0.994914,0.00139283,0.0203284,0.0681679,442,286,520,73.3948,4.08958,33833.4,5708.02,22442.4,2.87719e+07,0,0,1.69925,17,11,20,432.348,237.906,
93,16548.9,4707.95,34557.4,15235.4,4175.51,32393.4,0.257807,0.0423676,0.699825,0.104512,0.424759,0.172192,1404,624,2392,22.067,33.2218,15892.2,4441.73,33475.4,2.85962e+07,0,0,1.8903,54,24,92,2586.76,101.115,
94,27397.1,3864.52,8534.81,29050.8,4098.69,5110.77,0.188418,0.00377822,0.807803,-0.0266812,0.390135,-0.0552454,1586,312,3328,188.06,26.002,28223.9,3981.61,6822.79,2.83852e+07,0,0,1.21424,61,12,128,3809.66,108.293,
95,35949.8,5351.12,11679.5,36018.9,5363.42,11279.9,0.0290364,0.000919445,0.970044,-0.00516695,0.167829,-0.0298647,416,338,468,190.09,9.9668,35984.3,5357.27,11479.7,2.83852e+07,0,0,1.28044,16,13,18,405.67,278.425,
96,17960.4,3634.08,30830.1,15044.3,3119.4,29104,0.723857,0.0225475,0.253596,0.127754,0.428447,0.0756171,3016,572,1794,10.0091,59.7627,16502.3,3376.74,29967.1,2.82974e+07,0,0,1.71549,116,22,69,3427.55,92.2591,
